CandidateURL,SourceType,SourceQuery,SourceURL,SourceTitle,SourceSnippet,DiscoveredAtUTC
https://www.davidgreenwriter.com,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,David Green,David Green Website of indie fantasy author David Green. Visit,2026-03-10T14:37:16Z
http://www.susenedwardsauthor.com/contact-me,queue_enrichment,queue_enrichment,https://www.iabx.org/author-directory,Susen Edwards,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Susen Edwards,2026-03-10T14:37:16Z
https://www.tamikareedwrites.com/contact-mailing-list,queue_enrichment,queue_enrichment,https://www.iabx.org/author-directory,Tamika Reed,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Tamika Reed,2026-03-10T14:37:16Z
https://iankanebooks.com/contact,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Ian Kane Books,Ian Kane Books Website of indie sci-fi author Ian Kane. Visit,2026-03-10T14:37:16Z
https://runesnielsen.com/about,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,RUNE S. NIELSEN,RUNE S. NIELSEN The website of indie fantasy author Rune S. Nielsen. Visit,2026-03-10T14:37:16Z
https://www.jaimieschock.com/contact-me,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Jaimie N. Schock Author,Jaimie N. Schock Author Website of indie fantasy and sci-fi author Jaimie N. Schock Visit,2026-03-10T14:37:16Z
https://daankatz.com/contact/,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Daan Katz Author,Daan Katz Author Website of indie fantasy author Daan Katz. Visit,2026-03-10T14:37:16Z
https://aleahenle.com/contact/,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,A.R. Henle,A.R. Henle Website of indie fantasy author A.R. Henle Visit,2026-03-10T14:37:16Z
https://www.leeconleyauthor.com,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Lee c. conley,Lee c. conley Website of indie fantasy author Lee C. Conley. Visit,2026-03-10T14:37:16Z
https://mhwoodscourt.com/pages/contact,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,M.H. Woodscourt Books,M.H. Woodscourt Books Website of indie fantasy author M.H. Woodscourt. Visit,2026-03-10T14:37:16Z
