CandidateURL,SourceType,SourceQuery,SourceURL,SourceTitle,SourceSnippet,DiscoveredAtUTC
https://www.vncbooks.com/contact-us,queue_enrichment,queue_enrichment,https://www.iabx.org/author-directory,Virtuous Cornwall,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Virtuous Cornwall,2026-03-10T14:55:49Z
https://www.davidgreenwriter.com,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,David Green,David Green Website of indie fantasy author David Green. Visit,2026-03-10T14:55:49Z
http://www.susenedwardsauthor.com/contact-me,queue_enrichment,queue_enrichment,https://www.iabx.org/author-directory,Susen Edwards,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Susen Edwards,2026-03-10T14:55:49Z
https://www.tamikareedwrites.com/contact-mailing-list,queue_enrichment,queue_enrichment,https://www.iabx.org/author-directory,Tamika Reed,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Tamika Reed,2026-03-10T14:55:49Z
https://iankanebooks.com/contact,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Ian Kane Books,Ian Kane Books Website of indie sci-fi author Ian Kane. Visit,2026-03-10T14:55:49Z
https://runesnielsen.com/about,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,RUNE S. NIELSEN,RUNE S. NIELSEN The website of indie fantasy author Rune S. Nielsen. Visit,2026-03-10T14:55:49Z
https://tomkranzbooks.com/contact,queue_enrichment,queue_enrichment,https://www.iabx.org/author-directory,Thomas Kranz,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Thomas Kranz,2026-03-10T14:55:49Z
https://www.jaimieschock.com/contact-me,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Jaimie N. Schock Author,Jaimie N. Schock Author Website of indie fantasy and sci-fi author Jaimie N. Schock Visit,2026-03-10T14:55:49Z
https://daankatz.com/contact/,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Daan Katz Author,Daan Katz Author Website of indie fantasy author Daan Katz. Visit,2026-03-10T14:55:49Z
https://aleahenle.com/contact/,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,A.R. Henle,A.R. Henle Website of indie fantasy author A.R. Henle Visit,2026-03-10T14:55:49Z
https://www.leeconleyauthor.com,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Lee c. conley,Lee c. conley Website of indie fantasy author Lee C. Conley. Visit,2026-03-10T14:55:49Z
https://mhwoodscourt.com/pages/contact,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,M.H. Woodscourt Books,M.H. Woodscourt Books Website of indie fantasy author M.H. Woodscourt. Visit,2026-03-10T14:55:49Z
https://www.rmgarino.com/contact,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,R.M. Garino,"R.M. Garino The Website of Indie Fantasy Author R.M. Garino; Creator of the Chaos Of Souls Series - Where Monsters, Magic, & Mayhem reign! Visit",2026-03-10T14:55:49Z
https://legendsofkalda.com/pages/contact,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Legends of Kalda,Legends of Kalda Website of indie fantasy authors Dan Zangari and Robert Zangari. Visit,2026-03-10T14:55:49Z
https://www.ejfisch.com/contact,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,EJ Fisch,EJ Fisch Website of indie sci-fi author EJ Fisch. Visit,2026-03-10T14:55:49Z
https://www.zackargyle.com/contact,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Zack Argyle,Zack Argyle Website of indie fantasy author Zack Argyle. Visit,2026-03-10T14:55:49Z
https://afstewart.ca/about/contact/,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Welcome to Avalon - A. F. Stewart,Welcome to Avalon - A. F. Stewart The website of indie fantasy author A.F. Stewart. Visit,2026-03-10T14:55:49Z
https://authorjackadkins.com/contact/,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Author Jack Adkins,Author Jack Adkins Website of indie fantasy author Jack Adkins Visit,2026-03-10T14:55:49Z
https://erynnlehtonenwriting.com/contact/,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Erynn Lehtonen,Erynn Lehtonen The website for indie fantasy author Erynn Lehtonen. Visit,2026-03-10T14:55:49Z
https://www.elizabethkleinauthor.com/contact.html,queue_enrichment,queue_enrichment,https://www.epicindie.net/authordirectory,Elizabeth Klein,Elizabeth Klein Website of indie fantasy author Elizabeth Klein. Visit,2026-03-10T14:55:49Z
